expediente,campo,tipo,ref,nuestro,fila_ref,filas_ntro,observaciones
SD2022-0076355,Art OP 1,disjunto,['136B'],['136A'],[393],[390],No se pudo determinar la naturaleza de la marca.
SD2022-0078993,Art OP 1,vacio_out,['136A'],[],[405],[402],el reporte dice «Bajo Oposición = Sí» y la resolución dice lo contrario; se usa la resolución
SD2022-0082384,Art OP 1,vacio_out,['136A'],[],[413],[410],No se pudo determinar en qué artículos fundó su oposición «SOCIETE DES PRODUITS NESTLE SA».
SD2022-0084599,Art OP 1,vacio_out,['136A'],[],[422],[422],No se pudo determinar en qué artículos fundó su oposición «LABORATORIOS PROVET S.A.S.».
SD2022-0088652,Art OP 1,vacio_out,['136A'],[],[439],[442],no se descargó ninguna resolución (TM9 / TM128)
SD2022-0093178,Art OP 1,vacio_ref,[],['136A'],[462],[471],
SD2022-0097089,Art OP 1,superconjunto,['136A'],"['136A', '136H']",[472],"[484, 485]",
SD2022-0099424,Art OP 1,vacio_out,"['136A', '136H']",[],"[491, 492]","[509, 510]",No se pudo determinar en qué artículos fundó su oposición «RED BULL GMBH».
SD2022-0099426,Art OP 1,vacio_out,"['136A', '136H']",[],"[493, 494]","[511, 512]",No se pudo determinar en qué artículos fundó su oposición «RED BULL GMBH».
SD2022-0099429,Art OP 1,vacio_out,"['136A', '136H']",[],"[495, 496]","[513, 514]",No se pudo determinar en qué artículos fundó su oposición «RED BULL GMBH».
SD2022-0099978,Art OP 1,vacio_out,"['135B', '136A']",[],"[500, 501]",[518],No se pudo determinar en qué artículos fundó su oposición «MEDICARTE S.A.».
SD2022-0101828,Art OP 1,subconjunto,"['136A', '147']",['136A'],"[508, 509]",[525],
SD2022-0102876,Art OP 1,subconjunto,"['135B', '136A']",['135B'],"[519, 520]",[535],La resolución dice expresamente que NO está comprendido en 136a: no se cuenta como motivo.; La resolución niega el registro pero no se pudo determinar la causal. Revisar a mano.
SD2022-0106249,Art OP 1,vacio_out,['136A'],[],[535],"[552, 553]",No se pudo determinar en qué artículos fundó su oposición «RED BULL GMBH».
SD2022-0112996,Art OP 1,vacio_out,"['136A', '137']",[],"[560, 561]",[594],No se pudo determinar en qué artículos fundó su oposición «SANNUS FOODS SAS».; La resolución dice expresamente que NO está comprendido en 137: no se cuenta como motivo.
SD2022-0119945,Art OP 1,vacio_ref,[],['136A'],[572],[610],
SD2022-0120935,Art OP 1,vacio_out,['136A'],[],[586],[636],el reporte dice «Bajo Oposición = Sí» y la resolución dice lo contrario; se usa la resolución
SD2022-0121568,Art OP 1,vacio_out,['136A'],[],[588],[643],el reporte dice «Bajo Oposición = Sí» y la resolución dice lo contrario; se usa la resolución
SD2022-0127575,Art OP 1,vacio_out,"['136D', '147']",[],"[618, 619]",[694],el reporte dice «Bajo Oposición = Sí» y la resolución dice lo contrario; se usa la resolución
SD2022-0133969,Art OP 1,vacio_out,"['136A', '136B']",[],"[640, 641]",[742],el reporte dice «Bajo Oposición = Sí» y la resolución dice lo contrario; se usa la resolución
SD2022-0139172,Art OP 1,vacio_out,['136A'],[],[666],[786],No se pudo determinar en qué artículos fundó su oposición «ALEJANDRO LÓPEZ TELLO CUÉLLAR».
SD2022-0140186,Art OP 1,vacio_out,['136A'],[],[667],[793],No se pudo determinar en qué artículos fundó su oposición «LABORATORIOS MEREY SAS.».
SD2023-0007288,Art OP 1,vacio_out,['136A'],[],[687],[857],no se descargó ninguna resolución (TM9 / TM128)
SD2023-0039419,Art OP 1,vacio_out,['135B'],[],[696],[932],"No se pudo determinar la naturaleza de la marca.; No se pudo determinar en qué artículos fundó su oposición «Sanfer Farma, S.A.P.I. de C.V.»."
SD2022-0013952,Art Opositor 2,vacio_out,['136A'],[],"[49, 50]",[48],No se pudo determinar en qué artículos fundó su oposición «JUAN SEBASTIAN LIZCANO ROJAS».; No se pudo determinar en qué artículos fundó su oposición «AUTECO MOBILITY S.A.S.».
SD2022-0032729,Art Opositor 2,vacio_out,['136A'],[],[143],[135],no se descargó ninguna resolución (TM9 / TM128)
SD2022-0042747,Art Opositor 2,subconjunto,"['135A', '135B', '136A']","['135A', '135B']","[203, 204, 205]",[202],
SD2022-0049886,Art Opositor 2,vacio_out,['136A'],[],[243],[240],no se descargó ninguna resolución (TM9 / TM128)
SD2022-0050747,Art Opositor 2,vacio_ref,[],['136A'],[249],[246],No se encontró si la oposición de «PROCAPS S.A.» fue fundada.
SD2022-0051532,Art Opositor 2,vacio_ref,[],['136A'],[257],[252],No se encontró si la oposición de «PROCAPS S.A.» fue fundada.
SD2022-0097089,Art Opositor 2,vacio_ref,[],['136A'],[472],"[484, 485]",
SD2022-0108406,Art Opositor 2,vacio_ref,[],['136A'],[545],[569],
SD2022-0115921,Art Opositor 2,vacio_ref,[],['136A'],"[569, 570]",[605],"«Declarar fundada» menciona a «contra la solicitud de registro en la Clase 3 Internacional.», que no coincide con ningún opositor detectado.; «Declarar fundada» menciona a «contra la solicitud de registro en la Clase 5 Internacional.», que no coincide con ningún opositor detectado.; «Declarar infundada» menciona a «contra la solicitud de registro en la Clase 3 Internacional.», que no coincide con ningún opositor detectado.; «Declarar infundada» menciona a «contra la solicitud de registro en la Clase 5 Internacional.», que no coincide con ningún opositor detectado.; No se encontró si la oposición de «Mi Piel S.A.S.» fue fundada.; No se encontró si la oposición de «Medipiel S.A.S.» fue fundada."
SD2022-0131173,Art Opositor 2,vacio_ref,[],['136A'],[630],[710],
SD2022-0135458,Art Opositor 2,vacio_ref,[],"['135B', '135E', '135I']",[643],[745],"«Declarar infundada» menciona a «contra la solicitud de registro en la Clase 1 Internacional.», que no coincide con ningún opositor detectado.; «Declarar infundada» menciona a «contra la solicitud de registro en la Clase 5 Internacional.», que no coincide con ningún opositor detectado.; «Declarar fundada» menciona a «contra la solicitud de registro en la Clase 1 Internacional.», que no coincide con ningún opositor detectado.; No se encontró si la oposición de «Corporación de Ferias y Exposiciones S.A. Usuario Operador de Zona Franca Beneficio e Interés Colectivo» fue fundada.; No se encontró si la oposición de «Incubadora Santander S.A.» fue fundada."
SD2022-0013705,Conjunto MOTIVOS,vacio_out,['135B'],[],[66],[64],La resolución niega el registro pero no se pudo determinar la causal. Revisar a mano.
SD2022-0015309,Conjunto MOTIVOS,subconjunto,"['136A', '136H']",['136A'],"[70, 71]",[68],
SD2022-0017300,Conjunto MOTIVOS,disjunto,['136A'],['136'],[82],[78],
SD2022-0026819,Conjunto MOTIVOS,vacio_out,['136A'],[],[117],[108],No se pudo determinar en qué artículos fundó su oposición «FRANQUICIAS Y CONCESIONES S A S FRAYCO S.A.S.».; La resolución dice expresamente que NO está comprendido en 136h: no se cuenta como motivo.; La resolución niega el registro pero no se pudo determinar la causal. Revisar a mano.
SD2022-0032729,Conjunto MOTIVOS,vacio_out,['136A'],[],[143],[135],no se descargó ninguna resolución (TM9 / TM128)
SD2022-0035349,Conjunto MOTIVOS,disjunto,['7CONVENCIONINTERAMERICANAWASHINGTON'],['7'],[168],[164],
SD2022-0037286,Conjunto MOTIVOS,vacio_out,['136A'],[],[177],[173],"Error de red al pedir https://sipi.sic.gov.co/sipi/View.ashx?4125793: (""Connection broken: ConnectionResetError(10054, 'Se ha forzado la interrupción de una conexión existente por el host remoto', None, 10054, None)"", ConnectionResetError(10054, 'Se ha forzado la interrupción de una conexión existente por el host remoto', None, 10054, None))"
SD2022-0037296,Conjunto MOTIVOS,vacio_out,['136A'],[],[178],[174],"Error de red al pedir https://sipi.sic.gov.co/sipi/View.ashx?4125834: (""Connection broken: ConnectionResetError(10054, 'Se ha forzado la interrupción de una conexión existente por el host remoto', None, 10054, None)"", ConnectionResetError(10054, 'Se ha forzado la interrupción de una conexión existente por el host remoto', None, 10054, None))"
SD2022-0040364,Conjunto MOTIVOS,vacio_out,['135E'],[],[188],[185],La resolución niega el registro pero no se pudo determinar la causal. Revisar a mano.
SD2022-0040798,Conjunto MOTIVOS,vacio_out,['136A'],[],[193],[190],La resolución niega el registro pero no se pudo determinar la causal. Revisar a mano.
SD2022-0049886,Conjunto MOTIVOS,vacio_out,['136A'],[],[243],[240],no se descargó ninguna resolución (TM9 / TM128)
SD2022-0051988,Conjunto MOTIVOS,vacio_out,['136A'],[],[259],[254],La resolución niega el registro pero no se pudo determinar la causal. Se analizaron: 136a. Revisar a mano.
SD2022-0052369,Conjunto MOTIVOS,disjunto,['136A'],['136'],[258],[253],
SD2022-0055381,Conjunto MOTIVOS,disjunto,['135B'],['136E'],[284],[277],
SD2022-0057397,Conjunto MOTIVOS,vacio_out,['136A'],[],[291],[284],no se descargó ninguna resolución (TM9 / TM128)
SD2022-0063014,Conjunto MOTIVOS,disjunto,['136B'],['136A'],"[321, 322]",[315],No se pudo determinar en qué artículos fundó su oposición «opositora COLINAGRO S.A.».
SD2022-0063488,Conjunto MOTIVOS,vacio_out,['136A'],[],[330],[321],La resolución niega el registro pero no se pudo determinar la causal. Revisar a mano.
SD2022-0063880,Conjunto MOTIVOS,vacio_out,['136A'],[],"[335, 336]",[329],no se descargó ninguna resolución (TM9 / TM128)
SD2022-0069292,Conjunto MOTIVOS,vacio_out,['136A'],[],[358],[354],La resolución niega el registro pero no se pudo determinar la causal. Se analizaron: 136a. Revisar a mano.
SD2022-0070593,Conjunto MOTIVOS,vacio_out,['136A'],[],[361],[357],La resolución niega el registro pero no se pudo determinar la causal. Revisar a mano.
SD2022-0073513,Conjunto MOTIVOS,subconjunto,"['136A', '136H']",['136A'],"[381, 382, 383]",[377],
SD2022-0073928,Conjunto MOTIVOS,vacio_out,['136A'],[],[387],[381],no se descargó ninguna resolución (TM9 / TM128)
SD2022-0083067,Conjunto MOTIVOS,vacio_out,['136A'],[],[419],[417],La resolución niega el registro pero no se pudo determinar la causal. Se analizaron: 136a. Revisar a mano.
SD2022-0088652,Conjunto MOTIVOS,vacio_out,['136A'],[],[439],[442],no se descargó ninguna resolución (TM9 / TM128)
SD2022-0092376,Conjunto MOTIVOS,vacio_out,['136A'],[],[457],[466],La resolución niega el registro pero no se pudo determinar la causal. Revisar a mano.
SD2022-0096590,Conjunto MOTIVOS,vacio_out,"['154', '172']",[],[471],[483],La resolución niega el registro pero no se pudo determinar la causal. Revisar a mano.
SD2022-0098060,Conjunto MOTIVOS,vacio_out,['136A'],[],[483],[497],La resolución niega el registro pero no se pudo determinar la causal. Revisar a mano.
SD2022-0098168,Conjunto MOTIVOS,subconjunto,"['136A', '136C']",['136A'],[484],[498],La resolución dice expresamente que NO está comprendido en 136c: no se cuenta como motivo.
SD2022-0102876,Conjunto MOTIVOS,vacio_out,"['136A', '147']",[],"[519, 520]",[535],La resolución dice expresamente que NO está comprendido en 136a: no se cuenta como motivo.; La resolución niega el registro pero no se pudo determinar la causal. Revisar a mano.
SD2022-0105929,Conjunto MOTIVOS,vacio_out,['136A'],[],[531],[548],La resolución niega el registro pero no se pudo determinar la causal. Revisar a mano.
SD2022-0109757,Conjunto MOTIVOS,superconjunto,['136A'],"['135B', '136A']",[549],"[573, 574]",
SD2022-0117395,Conjunto MOTIVOS,vacio_out,['136A'],[],[573],[612],La resolución niega el registro pero no se pudo determinar la causal. Revisar a mano.
SD2022-0120301,Conjunto MOTIVOS,vacio_out,['136A'],[],[583],[632],La resolución niega el registro pero no se pudo determinar la causal. Se analizaron: 136a. Revisar a mano.
SD2022-0122632,Conjunto MOTIVOS,vacio_out,['136A'],[],[592],[649],La resolución niega el registro pero no se pudo determinar la causal. Revisar a mano.
SD2022-0122767,Conjunto MOTIVOS,vacio_out,['136A'],[],[595],[655],La resolución niega el registro pero no se pudo determinar la causal. Se analizaron: 136a. Revisar a mano.
SD2022-0123727,Conjunto MOTIVOS,vacio_out,['136A'],[],[574],[614],La resolución niega el registro pero no se pudo determinar la causal. Revisar a mano.
SD2022-0124584,Conjunto MOTIVOS,vacio_out,['136A'],[],[606],[675],La resolución niega el registro pero no se pudo determinar la causal. Se analizaron: 136a. Revisar a mano.
SD2022-0127575,Conjunto MOTIVOS,subconjunto,"['136A', '136D']",['136A'],"[618, 619]",[694],el reporte dice «Bajo Oposición = Sí» y la resolución dice lo contrario; se usa la resolución
SD2023-0007288,Conjunto MOTIVOS,vacio_out,['136A'],[],[687],[857],no se descargó ninguna resolución (TM9 / TM128)
SD2023-0016837,Conjunto MOTIVOS,vacio_out,['136A'],[],[695],[899],La resolución niega el registro pero no se pudo determinar la causal. Revisar a mano.
SD2022-0001545,Fundada OP 1,subconjunto,"['NO', 'SI']",['SI'],"[5, 6]",[5],La resolución dice expresamente que NO está comprendido en 136b: no se cuenta como motivo.
SD2022-0004420,Fundada OP 1,subconjunto,"['NO', 'SI']",['SI'],"[15, 16]",[14],
SD2022-0005052,Fundada OP 1,vacio_ref,[],['NO'],[13],[12],El nombre del opositor no se pudo leer junto a «presentó oposición»; se tomó de la parte resolutiva.
SD2022-0009197,Fundada OP 1,subconjunto,"['NO', 'SI']",['SI'],"[28, 29]",[28],No se pudo determinar en qué artículos fundó su oposición «INSTITUTO FARMACOLOGICO BOTANICO S.A.S».
SD2022-0011050,Fundada OP 1,vacio_ref,[],['SI'],[43],[42],
SD2022-0013952,Fundada OP 1,subconjunto,"['NO', 'SI']",['SI'],"[49, 50]",[48],No se pudo determinar en qué artículos fundó su oposición «JUAN SEBASTIAN LIZCANO ROJAS».; No se pudo determinar en qué artículos fundó su oposición «AUTECO MOBILITY S.A.S.».
SD2022-0016010,Fundada OP 1,subconjunto,"['NO', 'SI']",['SI'],"[74, 75]",[71],La resolución dice expresamente que NO está comprendido en 136h: no se cuenta como motivo.
SD2022-0016477,Fundada OP 1,vacio_ref,[],['NO'],[76],[72],
SD2022-0023110,Fundada OP 1,vacio_out,['NO'],[],"[105, 106]",[99],"«Declarar infundada» menciona a «presentada contra la solicitud de registro en la Clase 5 Internacional.», que no coincide con ningún opositor detectado.; «Declarar fundada» menciona a «presentada contra la solicitud de registro en la Clase 5 Internacional.», que no coincide con ningún opositor detectado.; «Declarar fundada» menciona a «presentada contra la solicitud de registro en la Clase 32 Internacional.», que no coincide con ningún opositor detectado.; «Declarar fundada» menciona a «presentada contra la solicitud de registro en la Clase 33 Internacional.», que no coincide con ningún opositor detectado.; No se encontró si la oposición de «Aditivos y Quimicos S.A.S Adiquim S.A.S.» fue fundada.; No se encontró si la oposición de «Sanadores Ambientales Sanam Company S.A.S.» fue fundada."
SD2022-0026026,Fundada OP 1,subconjunto,"['NO', 'SI']",['SI'],"[112, 113]",[104],
SD2022-0026819,Fundada OP 1,vacio_ref,[],['NO'],[117],[108],No se pudo determinar en qué artículos fundó su oposición «FRANQUICIAS Y CONCESIONES S A S FRAYCO S.A.S.».; La resolución dice expresamente que NO está comprendido en 136h: no se cuenta como motivo.; La resolución niega el registro pero no se pudo determinar la causal. Revisar a mano.
SD2022-0028314,Fundada OP 1,vacio_ref,[],['NO'],[120],[111],
SD2022-0032729,Fundada OP 1,vacio_out,['SI'],[],[143],[135],no se descargó ninguna resolución (TM9 / TM128)
SD2022-0037737,Fundada OP 1,vacio_ref,[],['NO'],[152],[147],
SD2022-0038666,Fundada OP 1,vacio_ref,[],['NO'],[182],[178],
SD2022-0049055,Fundada OP 1,subconjunto,"['NO', 'SI']",['SI'],"[237, 238]",[235],
SD2022-0049886,Fundada OP 1,vacio_out,['SI'],[],[243],[240],no se descargó ninguna resolución (TM9 / TM128)
SD2022-0050235,Fundada OP 1,subconjunto,"['NO', 'SI']",['SI'],"[235, 236]",[234],La resolución dice expresamente que NO está comprendido en 136a: no se cuenta como motivo.
SD2022-0051411,Fundada OP 1,subconjunto,"['NO', 'SI']",['SI'],"[253, 254]",[250],No se pudo determinar en qué artículos fundó su oposición «LOVIENT CONSULTADORIA E SERVICOS LDA.».
SD2022-0051416,Fundada OP 1,subconjunto,"['NO', 'SI']",['SI'],"[255, 256]",[251],No se pudo determinar en qué artículos fundó su oposición «LOVIENT CONSULTADORIA E SERVICOS LDA.».
SD2022-0054153,Fundada OP 1,subconjunto,"['NO', 'SI']",['SI'],"[273, 274]",[267],No se pudo determinar en qué artículos fundó su oposición «LABORATORIOS INCOBRA S.A.».
SD2022-0054710,Fundada OP 1,subconjunto,"['NO', 'SI']",['SI'],"[271, 272]",[266],No se pudo determinar en qué artículos fundó su oposición «Catalunya Trust».
SD2022-0056071,Fundada OP 1,vacio_out,['SI'],[],[285],"[278, 279]",el reporte dice «Bajo Oposición = Sí» y la resolución dice lo contrario; se usa la resolución
SD2022-0056383,Fundada OP 1,subconjunto,"['NO', 'SI']",['SI'],"[286, 287]",[280],
SD2022-0056830,Fundada OP 1,vacio_ref,[],['SI'],[288],[282],
SD2022-0057103,Fundada OP 1,subconjunto,"['NO', 'SI']",['SI'],"[289, 290]",[283],
SD2022-0057397,Fundada OP 1,vacio_out,['SI'],[],[291],[284],no se descargó ninguna resolución (TM9 / TM128)
SD2022-0060997,Fundada OP 1,vacio_out,['SI'],[],[305],[299],el reporte dice «Bajo Oposición = Sí» y la resolución dice lo contrario; se usa la resolución
SD2022-0063180,Fundada OP 1,subconjunto,"['NO', 'SI']",['SI'],"[323, 324]",[316],
SD2022-0063184,Fundada OP 1,subconjunto,"['NO', 'SI']",['SI'],"[325, 326]",[317],
SD2022-0063880,Fundada OP 1,vacio_out,"['NO', 'SI']",[],"[335, 336]",[329],no se descargó ninguna resolución (TM9 / TM128)
SD2022-0070089,Fundada OP 1,vacio_ref,[],['NO'],[350],[344],La resolución dice expresamente que NO está comprendido en 135i: no se cuenta como motivo.; La resolución dice expresamente que NO está comprendido en 135j: no se cuenta como motivo.
SD2022-0071491,Fundada OP 1,vacio_out,['SI'],[],[364],[360],el reporte dice «Bajo Oposición = Sí» y la resolución dice lo contrario; se usa la resolución
SD2022-0071599,Fundada OP 1,vacio_out,['SI'],[],[367],[363],el reporte dice «Bajo Oposición = Sí» y la resolución dice lo contrario; se usa la resolución
SD2022-0073928,Fundada OP 1,vacio_out,['NO'],[],[387],[381],no se descargó ninguna resolución (TM9 / TM128)
SD2022-0078993,Fundada OP 1,vacio_out,['SI'],[],[405],[402],el reporte dice «Bajo Oposición = Sí» y la resolución dice lo contrario; se usa la resolución
SD2022-0088652,Fundada OP 1,vacio_out,['NO'],[],[439],[442],no se descargó ninguna resolución (TM9 / TM128)
SD2022-0093178,Fundada OP 1,vacio_ref,[],['SI'],[462],[471],
SD2022-0102876,Fundada OP 1,subconjunto,"['NO', 'SI']",['SI'],"[519, 520]",[535],La resolución dice expresamente que NO está comprendido en 136a: no se cuenta como motivo.; La resolución niega el registro pero no se pudo determinar la causal. Revisar a mano.
SD2022-0106256,Fundada OP 1,vacio_ref,[],['SI'],[536],"[556, 557]",No se pudo determinar en qué artículos fundó su oposición «RED BULL GMBH».
SD2022-0115921,Fundada OP 1,vacio_out,"['NO', 'SI']",[],"[569, 570]",[605],"«Declarar fundada» menciona a «contra la solicitud de registro en la Clase 3 Internacional.», que no coincide con ningún opositor detectado.; «Declarar fundada» menciona a «contra la solicitud de registro en la Clase 5 Internacional.», que no coincide con ningún opositor detectado.; «Declarar infundada» menciona a «contra la solicitud de registro en la Clase 3 Internacional.», que no coincide con ningún opositor detectado.; «Declarar infundada» menciona a «contra la solicitud de registro en la Clase 5 Internacional.», que no coincide con ningún opositor detectado.; No se encontró si la oposición de «Mi Piel S.A.S.» fue fundada.; No se encontró si la oposición de «Medipiel S.A.S.» fue fundada."
SD2022-0119945,Fundada OP 1,vacio_ref,[],['NO'],[572],[610],
SD2022-0120935,Fundada OP 1,vacio_out,['SI'],[],[586],[636],el reporte dice «Bajo Oposición = Sí» y la resolución dice lo contrario; se usa la resolución
SD2022-0121568,Fundada OP 1,vacio_out,['SI'],[],[588],[643],el reporte dice «Bajo Oposición = Sí» y la resolución dice lo contrario; se usa la resolución
SD2022-0127575,Fundada OP 1,vacio_out,['SI'],[],"[618, 619]",[694],el reporte dice «Bajo Oposición = Sí» y la resolución dice lo contrario; se usa la resolución
SD2022-0133969,Fundada OP 1,vacio_out,['SI'],[],"[640, 641]",[742],el reporte dice «Bajo Oposición = Sí» y la resolución dice lo contrario; se usa la resolución
SD2022-0135458,Fundada OP 1,vacio_out,['NO'],[],[643],[745],"«Declarar infundada» menciona a «contra la solicitud de registro en la Clase 1 Internacional.», que no coincide con ningún opositor detectado.; «Declarar infundada» menciona a «contra la solicitud de registro en la Clase 5 Internacional.», que no coincide con ningún opositor detectado.; «Declarar fundada» menciona a «contra la solicitud de registro en la Clase 1 Internacional.», que no coincide con ningún opositor detectado.; No se encontró si la oposición de «Corporación de Ferias y Exposiciones S.A. Usuario Operador de Zona Franca Beneficio e Interés Colectivo» fue fundada.; No se encontró si la oposición de «Incubadora Santander S.A.» fue fundada."
SD2023-0007288,Fundada OP 1,vacio_out,['SI'],[],[687],[857],no se descargó ninguna resolución (TM9 / TM128)
SD2022-0023110,Fundada OP 2,vacio_out,"['NO', 'SI']",[],"[105, 106]",[99],"«Declarar infundada» menciona a «presentada contra la solicitud de registro en la Clase 5 Internacional.», que no coincide con ningún opositor detectado.; «Declarar fundada» menciona a «presentada contra la solicitud de registro en la Clase 5 Internacional.», que no coincide con ningún opositor detectado.; «Declarar fundada» menciona a «presentada contra la solicitud de registro en la Clase 32 Internacional.», que no coincide con ningún opositor detectado.; «Declarar fundada» menciona a «presentada contra la solicitud de registro en la Clase 33 Internacional.», que no coincide con ningún opositor detectado.; No se encontró si la oposición de «Aditivos y Quimicos S.A.S Adiquim S.A.S.» fue fundada.; No se encontró si la oposición de «Sanadores Ambientales Sanam Company S.A.S.» fue fundada."
SD2022-0032729,Fundada OP 2,vacio_out,['NO'],[],[143],[135],no se descargó ninguna resolución (TM9 / TM128)
SD2022-0049886,Fundada OP 2,vacio_out,['NO'],[],[243],[240],no se descargó ninguna resolución (TM9 / TM128)
